cnn_losses,ae_losses,diffusion_losses,generated_accuracies
0.4366207592981927,0.0024590271059423685,0.16723127663135529,0.452
0.10040175478826179,0.0032987211598083377,0.14016281068325043,0.8122
0.0677345538234457,0.0025742988800629973,0.10460324585437775,0.6867
0.05193270624397283,0.002375345560722053,0.08503679931163788,0.186
0.042441095435555944,0.002299058483913541,0.07175139337778091,0.3064
0.03619871528700311,0.0022336377296596766,0.05362267047166824,0.6449
0.0304997525811988,0.002187836798839271,0.059093572199344635,0.7609
0.026688457310120477,0.002159856492653489,0.08601701259613037,0.1897
0.024446433415002328,0.0021326877176761627,0.04581627994775772,0.9412
0.021554778300304996,0.002099645556882024,0.04216337203979492,0.1363
0.4438013216599505,0.0020937907975167036,,0.6242
0.09699400347915102,0.0020660213194787502,,0.3625
0.06509406928844909,0.0020447428105399013,,0.2068
0.04963504947087866,0.002021548629272729,,0.0979
0.04220465665405735,0.0020012454479001462,,0.9835
0.035254914182773295,0.0019860751344822347,,0.6935
0.030711412996529266,0.0019620413659140468,,0.9268
0.026192018052840486,0.0019389479421079159,,0.3448
0.02308090036695308,0.0019173792679794133,,0.9624
0.02147441064304811,0.0019001038162969053,,0.2018
0.4307245752595841,0.0018724135588854551,,
0.1030591885935753,0.0018451913492754102,,
0.06668255310901935,0.0018256661132909358,,
0.052565869685024656,0.0017958527896553278,,
0.04358984900321415,0.001776352000888437,,
0.037869509737542335,0.0017549526528455317,,
0.03222497320595257,0.0017241686000488698,,
0.02694336841715143,0.0017076880321837962,,
0.02275318250139343,0.001678730535786599,,
0.020150243519666666,0.0016556318732909858,,
0.4681659408389254,0.0016311081708408892,,
0.10364117841137216,0.0016118513885885477,,
0.06864240427125008,0.0015819102409295738,,
0.0562810453090896,0.0015598759055137634,,
0.0454131940815677,0.0015383323770947754,,
0.040179338532083844,0.0015181826311163604,,
0.03431325985039485,0.0014905563439242542,,
0.028682520601185077,0.0014629344223067164,,
0.026456114396135856,0.001443336164811626,,
0.02372654643048473,0.0014223394100554287,,
0.4433568040741251,0.0013880531187169254,,
0.10455962777771849,0.0013819246960338205,,
0.06855297558643716,0.0013500761124305427,,
0.05409333496651751,0.001320458686677739,,
0.04491477252400302,0.0013091977161820978,,
0.03726478232506742,0.0012821927084587514,,
0.03370006692774118,0.0012603099457919598,,
0.027334259854669266,0.0012388954346533865,,
0.023836859495953676,0.0012149831745773554,,
0.020423687541698838,0.0011926974984817207,,
0.4120190550355201,0.0011793298472184688,,
0.09804236887300267,0.001176610414404422,,
0.06377465005250688,0.0011470692261354998,,
0.049771611927513115,0.0011417749628890306,,
0.041264365145817716,0.0011212145182071254,,
0.034423818742420446,0.001105019182432443,,
0.02950304176935807,0.0010983133397530764,,
0.02473321085736314,0.0010786017955979332,,
0.022551522390084698,0.0010733000381151214,,
0.019166256421978802,0.0010615350984153338,,
0.4841635455159431,0.0010479979318915866,,
0.10459550774477898,0.0010499583368073218,,
0.06985390556460999,0.0010426949011161923,,
0.05542021794839108,0.0010214365902356803,,
0.044531374601052796,0.0010166167703573592,,
0.03770501181245484,0.0009963095872080885,,
0.032784612342081174,0.0010009422767325304,,
0.02840182250960076,0.0009845364766079001,,
0.024902475367676705,0.0009755787250469439,,
0.022073332350106632,0.0009713607651065104,,
0.4675696194805998,0.0009609353583073243,,
0.10195601149759394,0.0009453239981667139,,
0.06606634515238569,0.0009491604068898596,,
0.05192744605084683,0.0009416604953003116,,
0.04322677252695281,0.0009278393408749253,,
0.0385707817951891,0.000929863665078301,,
0.031924440114303156,0.0009138896784861572,,
0.02849711604178586,0.000903772706806194,,
0.027261474510615176,0.0008999349156511016,,
0.02251310886597221,0.0008879130255081691,,
0.47151100226539244,0.0008800020950729959,,
0.09777300185028542,0.0008779166673775762,,
0.06613905229308503,0.0008607090239820536,,
0.05240531914490969,0.0008583233575336635,,
0.044633860763241634,0.0008539984482922591,,
0.036771333380106914,0.0008467226507491432,,
0.03168971244483552,0.0008439556768280454,,
0.028437761651312416,0.0008197463866963517,,
0.02426008230293209,0.0008174854083335958,,
0.02209687255857948,0.0008139338169712573,,
0.4093538038274075,0.000797236461949069,,
0.09435419138283171,0.0007922736331238411,,
0.06291543066184571,0.000779784910264425,,
0.0507384976491015,0.0007642370619578287,,
0.04132812467027218,0.0007679595219087787,,
0.033687095514478835,0.0007523330568801612,,
0.030326458811759948,0.0007437572421622463,,
0.02697358316385207,0.0007344240948441438,,
0.021308941262318415,0.0007325958140427247,,
0.020628763079405466,0.0007187401097326074,,
